Year,Liver Cancer,Kidney Cancer,Lip & Oral Cavity Cancer,"Tracheal, bronchus, and lung cancer ",Larynx cancer,Gallbladder and biliary tract cancer ,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Non-Hodgkin lymphoma,Pancreatic cancer,Esophageal cancer,Testicular cancer,Nasopharynx cancer,Other pharynx cancer,Colon and rectum cancer,Non-melanoma skin cancer,Mesothelioma,Total
1990,224,37,225,380,101,92,36,445,55,80,21,564,532,18,733,83,46,99,595,183,227,115,825,4,146,57,392,30,16,6361
1991,245,39,236,399,105,95,38,444,57,83,22,591,552,19,758,87,47,104,620,186,235,121,856,4,152,59,410,31,17,6612
1992,269,40,246,417,110,98,39,443,59,86,22,619,572,20,785,90,49,110,646,190,242,128,887,5,159,62,428,33,18,6872
1993,296,41,256,433,115,100,40,441,61,88,23,644,589,20,807,94,50,115,667,192,248,134,913,5,164,64,443,34,19,7096
1994,323,43,266,449,119,103,41,439,63,91,23,672,606,21,828,97,52,121,693,195,254,141,941,5,170,66,458,35,19,7334
1995,349,44,276,466,124,106,43,440,65,94,24,699,626,22,852,100,53,128,714,198,261,147,969,5,176,68,474,36,20,7579
1996,374,46,288,486,129,109,44,443,67,97,25,728,643,23,877,104,54,134,731,202,269,154,1001,5,182,71,491,38,21,7836
1997,396,48,301,506,135,113,46,449,70,101,26,765,662,23,913,107,57,142,760,207,278,163,1041,5,191,74,512,39,22,8152
1998,416,50,316,530,143,117,48,457,73,106,27,803,684,25,953,111,59,150,786,213,289,172,1087,5,200,78,536,41,24,8499
1999,432,53,330,551,150,121,50,465,76,110,27,839,704,25,984,115,61,158,808,218,299,181,1126,6,209,81,556,42,24,8801
2000,453,56,350,582,159,127,52,487,81,116,29,892,732,27,1035,121,64,169,844,231,318,193,1185,6,221,86,587,45,26,9274
2001,439,59,368,603,168,132,55,495,84,122,30,924,769,28,1078,123,67,178,874,237,337,203,1265,6,229,91,615,47,27,9653
2002,437,63,400,639,181,138,59,516,89,130,31,983,817,31,1155,132,71,195,937,253,361,223,1369,6,244,98,667,50,28,10303
2003,426,69,434,678,195,149,63,548,96,140,32,1044,880,34,1247,142,76,211,1008,275,388,245,1489,7,262,106,725,53,30,11052
2004,448,74,463,708,206,156,67,564,102,148,34,1088,937,36,1317,151,80,225,1058,291,406,265,1585,7,274,113,774,56,31,11664
2005,468,79,492,739,215,165,71,584,108,158,35,1140,1000,39,1383,160,84,242,1110,308,424,286,1685,7,286,119,826,59,32,12304
2006,492,85,523,770,225,173,76,601,115,168,37,1198,1067,41,1451,168,88,261,1158,328,445,310,1785,8,299,127,881,62,34,12976
2007,501,92,552,801,233,183,81,625,122,179,38,1249,1111,44,1498,178,92,279,1195,348,500,333,1860,8,313,135,929,64,35,13578
2008,519,98,582,832,240,192,86,641,128,190,40,1310,1163,47,1546,188,97,299,1235,366,553,358,1938,9,327,144,980,67,36,14211
2009,546,106,616,868,249,202,91,664,134,203,42,1389,1223,50,1602,201,102,322,1288,388,612,387,2029,10,342,153,1040,71,37,14967
2010,596,116,659,907,258,215,98,699,143,218,44,1503,1297,54,1671,217,108,349,1358,421,680,423,2139,11,359,165,1115,74,39,15936
2011,601,122,682,943,265,223,102,732,147,227,47,1584,1343,56,1707,221,113,374,1400,441,699,445,2208,11,372,170,1161,78,41,16515
2012,613,127,703,975,270,230,106,742,150,235,49,1664,1393,58,1737,226,118,398,1436,452,715,468,2266,11,383,176,1205,82,43,17031
2013,624,131,722,1003,274,237,109,754,152,243,51,1749,1444,59,1762,232,123,422,1477,462,735,491,2321,11,392,181,1250,85,44,17540
2014,635,136,741,1035,280,244,112,759,155,250,53,1834,1493,61,1790,238,128,447,1513,471,755,515,2372,12,403,187,1296,89,46,18050
2015,646,142,763,1071,286,252,115,758,156,258,56,1916,1545,63,1822,245,133,472,1542,477,775,544,2432,12,413,193,1348,92,48,18575
2016,659,148,787,1112,293,260,119,759,158,268,58,2004,1608,64,1860,253,138,498,1578,485,799,575,2510,12,425,200,1405,96,49,19180
2017,677,155,815,1159,302,269,123,775,160,279,61,2097,1687,66,1907,263,144,528,1614,501,831,611,2605,12,437,208,1469,101,51,19907
2018,700,163,851,1219,313,280,128,787,162,293,64,2213,1787,69,1965,276,151,561,1669,515,867,654,2718,13,453,218,1548,107,54,20798
2019,724,172,887,1282,326,292,134,800,164,307,68,2321,1887,71,2026,289,157,591,1725,530,902,696,2831,13,469,228,1628,112,56,21688
